District,Gender,"Area, Sex and type of activity",Duration of activity performed (in month),Value
 Dhankuta,Male,Non-Economic,3, 716
 Dhankuta,Male,Non-Economic,4, 1047
 Dhankuta,Male,Non-Economic,5, 324
 Dhankuta,Male,Non-Economic,6,  1323
 Dhankuta,Male,Non-Economic,7,262
 Dhankuta,Male,Non-Economic,8,1035
 Dhankuta,Male,Non-Economic,9,  751
 Dhankuta,Male,Non-Economic,10,3262
 Dhankuta,Male,Non-Economic,11,  350
 Dhankuta,Male,Non-Economic,12,13997
 Dhankuta,Female,Economic,0,  22223
 Dhankuta,Female,Economic,1, 618
 Dhankuta,Female,Economic,2, 3258
 Dhankuta,Female,Economic,3,  1047
 Dhankuta,Female,Economic,4, 1644
 Dhankuta,Female,Economic,5,  862
 Dhankuta,Female,Economic,6, 7859
 Dhankuta,Female,Economic,7,  1974
 Dhankuta,Female,Economic,8,  5422
 Dhankuta,Female,Economic,9,1617
 Dhankuta,Female,Economic,10,5123
 Dhankuta,Female,Economic,11,  350
 Dhankuta,Female,Economic,12,18464
 Dhankuta,Female,Extended Economic,0,  60803
 Dhankuta,Female,Extended Economic,1,  1421
 Dhankuta,Female,Extended Economic,2, 4141
 Dhankuta,Female,Extended Economic,3,  1771
 Dhankuta,Female,Extended Economic,4, 1164
 Dhankuta,Female,Extended Economic,5,  200
 Dhankuta,Female,Extended Economic,6,643
 Dhankuta,Female,Extended Economic,7,  47
 Dhankuta,Female,Extended Economic,8,  76
 Dhankuta,Female,Extended Economic,9,29
 Dhankuta,Female,Extended Economic,10,85
 Dhankuta,Female,Extended Economic,11, 0
 Dhankuta,Female,Extended Economic,12, 83
 Dhankuta,Female,Seeking job,0,  69456
 Dhankuta,Female,Seeking job,1, 186
 Dhankuta,Female,Seeking job,2,210
 Dhankuta,Female,Seeking job,3, 136
 Dhankuta,Female,Seeking job,4,236
 Dhankuta,Female,Seeking job,5,69
 Dhankuta,Female,Seeking job,6,102
 Dhankuta,Female,Seeking job,7,6
 Dhankuta,Female,Seeking job,8,  29
 Dhankuta,Female,Seeking job,9, 1
 Dhankuta,Female,Seeking job,10, 4
 Dhankuta,Female,Seeking job,11, 1
 Dhankuta,Female,Seeking job,12, 26
 Dhankuta,Female,Non-Economic,0, 21683
 Dhankuta,Female,Non-Economic,1, 538
 Dhankuta,Female,Non-Economic,2, 5291
 Dhankuta,Female,Non-Economic,3,  2709
 Dhankuta,Female,Non-Economic,4, 5002
 Dhankuta,Female,Non-Economic,5,1401
 Dhankuta,Female,Non-Economic,6, 5799
 Dhankuta,Female,Non-Economic,7, 712
 Dhankuta,Female,Non-Economic,8,  1521
 Dhankuta,Female,Non-Economic,9,  826
 Dhankuta,Female,Non-Economic,10,3596
 Dhankuta,Female,Non-Economic,11,  527
 Dhankuta,Female,Non-Economic,12,20859
 Terhathum,Male,Economic,0, 9610
 Terhathum,Male,Economic,1, 479
 Terhathum,Male,Economic,2, 2078
 Terhathum,Male,Economic,3,  1130
 Terhathum,Male,Economic,4, 1013
 Terhathum,Male,Economic,5, 337
 Terhathum,Male,Economic,6,  3000
 Terhathum,Male,Economic,7,  1280
 Terhathum,Male,Economic,8,  2910
 Terhathum,Male,Economic,9,2434
 Terhathum,Male,Economic,10,2739
 Terhathum,Male,Economic,11,  611
 Terhathum,Male,Economic,12, 8120
 Terhathum,Male,Extended Economic,0,25407
 Terhathum,Male,Extended Economic,1,  1859
 Terhathum,Male,Extended Economic,2, 3825
 Terhathum,Male,Extended Economic,3,  2408
 Terhathum,Male,Extended Economic,4, 1453
 Terhathum,Male,Extended Economic,5, 256
 Terhathum,Male,Extended Economic,6, 446
 Terhathum,Male,Extended Economic,7,0
 Terhathum,Male,Extended Economic,8,  15
 Terhathum,Male,Extended Economic,9,31
 Terhathum,Male,Extended Economic,10,24
 Terhathum,Male,Extended Economic,11, 8
 Terhathum,Male,Extended Economic,12,  8
 Terhathum,Male,Seeking job,0,32633
 Terhathum,Male,Seeking job,1, 828
 Terhathum,Male,Seeking job,2, 1149
 Terhathum,Male,Seeking job,3, 391
 Terhathum,Male,Seeking job,4,366
 Terhathum,Male,Seeking job,5,  47
 Terhathum,Male,Seeking job,6, 204
 Terhathum,Male,Seeking job,7,8
 Terhathum,Male,Seeking job,8,  16
 Terhathum,Male,Seeking job,9, 0
 Terhathum,Male,Seeking job,10,38
 Terhathum,Male,Seeking job,11, 8
 Terhathum,Male,Seeking job,12, 54
 Terhathum,Male,Non-Economic,0,  14102
 Terhathum,Male,Non-Economic,1, 904
 Terhathum,Male,Non-Economic,2, 2683
 Terhathum,Male,Non-Economic,3,  1436
 Terhathum,Male,Non-Economic,4, 1368
 Terhathum,Male,Non-Economic,5, 392
 Terhathum,Male,Non-Economic,6,  1148
 Terhathum,Male,Non-Economic,7, 221
 Terhathum,Male,Non-Economic,8,  1056
 Terhathum,Male,Non-Economic,9,1286
 Terhathum,Male,Non-Economic,10,2123
 Terhathum,Male,Non-Economic,11,  358
 Terhathum,Male,Non-Economic,12, 8663
 Terhathum,Female,Economic,0,  14007
 Terhathum,Female,Economic,1, 723
 Terhathum,Female,Economic,2, 2491
 Terhathum,Female,Economic,3,  1701
 Terhathum,Female,Economic,4, 2163
 Terhathum,Female,Economic,5,  926
 Terhathum,Female,Economic,6, 8020
 Terhathum,Female,Economic,7,  2133
 Terhathum,Female,Economic,8,  3946
 Terhathum,Female,Economic,9,2164
 Terhathum,Female,Economic,10,2008
 Terhathum,Female,Economic,11,  218
 Terhathum,Female,Economic,12, 3366
 Terhathum,Female,Extended Economic,0,  30921
 Terhathum,Female,Extended Economic,1,  2410
 Terhathum,Female,Extended Economic,2, 4793
 Terhathum,Female,Extended Economic,3,  3182
 Terhathum,Female,Extended Economic,4, 1609
 Terhathum,Female,Extended Economic,5,  176
 Terhathum,Female,Extended Economic,6,579
 Terhathum,Female,Extended Economic,7,  63
 Terhathum,Female,Extended Economic,8,  62
 Terhathum,Female,Extended Economic,9,16
 Terhathum,Female,Extended Economic,10,39
 Terhathum,Female,Extended Economic,11, 0
 Terhathum,Female,Extended Economic,12, 16
 Terhathum,Female,Seeking job,0,  42679
 Terhathum,Female,Seeking job,1, 278
 Terhathum,Female,Seeking job,2,385
 Terhathum,Female,Seeking job,3, 133
 Terhathum,Female,Seeking job,4,159
 Terhathum,Female,Seeking job,5,32
 Terhathum,Female,Seeking job,6,128
 Terhathum,Female,Seeking job,7,0
 Terhathum,Female,Seeking job,8,  39
 Terhathum,Female,Seeking job,9, 0
 Terhathum,Female,Seeking job,10,16
 Terhathum,Female,Seeking job,11, 0
 Terhathum,Female,Seeking job,12, 16
 Terhathum,Female,Non-Economic,0,  4984
 Terhathum,Female,Non-Economic,1, 743
 Terhathum,Female,Non-Economic,2, 4323
 Terhathum,Female,Non-Economic,3,  3658
 Terhathum,Female,Non-Economic,4, 4198
 Terhathum,Female,Non-Economic,5,1200
 Terhathum,Female,Non-Economic,6, 5538
 Terhathum,Female,Non-Economic,7, 712
 Terhathum,Female,Non-Economic,8,  1821
 Terhathum,Female,Non-Economic,9,1213
 Terhathum,Female,Non-Economic,10,2171
 Terhathum,Female,Non-Economic,11,  563
 Terhathum,Female,Non-Economic,12,12742
 Sankhuwasabha,Male,Economic,0, 12641
 Sankhuwasabha,Male,Economic,1, 1199
 Sankhuwasabha,Male,Economic,2, 6030
 Sankhuwasabha,Male,Economic,3,  2003
 Sankhuwasabha,Male,Economic,4, 1857
 Sankhuwasabha,Male,Economic,5,1071
 Sankhuwasabha,Male,Economic,6, 4219
 Sankhuwasabha,Male,Economic,7,  1856
 Sankhuwasabha,Male,Economic,8,  4306
 Sankhuwasabha,Male,Economic,9,2796
 Sankhuwasabha,Male,Economic,10, 5344
 Sankhuwasabha,Male,Economic,11,1266
 Sankhuwasabha,Male,Economic,12,11846
 Sankhuwasabha,Male,Extended Economic,0, 40746
 Sankhuwasabha,Male,Extended Economic,1, 4429
 Sankhuwasabha,Male,Extended Economic,2, 6351
 Sankhuwasabha,Male,Extended Economic,3,  2349
 Sankhuwasabha,Male,Extended Economic,4, 1475
 Sankhuwasabha,Male,Extended Economic,5,  265
 Sankhuwasabha,Male,Extended Economic,6,385
 Sankhuwasabha,Male,Extended Economic,7,  79
 Sankhuwasabha,Male,Extended Economic,8, 126
 Sankhuwasabha,Male,Extended Economic,9,77
 Sankhuwasabha,Male,Extended Economic,10,111
 Sankhuwasabha,Male,Extended Economic,11, 8
 Sankhuwasabha,Male,Extended Economic,12, 31
 Sankhuwasabha,Male,Seeking job,0, 51815
 Sankhuwasabha,Male,Seeking job,1, 1620
 Sankhuwasabha,Male,Seeking job,2, 1573
 Sankhuwasabha,Male,Seeking job,3, 347
 Sankhuwasabha,Male,Seeking job,4,369
 Sankhuwasabha,Male,Seeking job,5,95
 Sankhuwasabha,Male,Seeking job,6,277
 Sankhuwasabha,Male,Seeking job,7,  27
 Sankhuwasabha,Male,Seeking job,8, 102
 Sankhuwasabha,Male,Seeking job,9,10
 Sankhuwasabha,Male,Seeking job,10, 78
 Sankhuwasabha,Male,Seeking job,11, 1
 Sankhuwasabha,Male,Seeking job,12,120
 Sankhuwasabha,Male,Non-Economic,0,18789
 Sankhuwasabha,Male,Non-Economic,1, 2456
 Sankhuwasabha,Male,Non-Economic,2, 4941
 Sankhuwasabha,Male,Non-Economic,3,  2319
 Sankhuwasabha,Male,Non-Economic,4, 2539
 Sankhuwasabha,Male,Non-Economic,5,1217
 Sankhuwasabha,Male,Non-Economic,6, 2072
 Sankhuwasabha,Male,Non-Economic,7, 481
 Sankhuwasabha,Male,Non-Economic,8,  1304
 Sankhuwasabha,Male,Non-Economic,9,1790
 Sankhuwasabha,Male,Non-Economic,10, 5956
 Sankhuwasabha,Male,Non-Economic,11,  845
 Sankhuwasabha,Male,Non-Economic,12,11724
 Sankhuwasabha,Female,Economic,0,  17523
 Sankhuwasabha,Female,Economic,1,  1481
 Sankhuwasabha,Female,Economic,2, 6499
 Sankhuwasabha,Female,Economic,3,  2459
 Sankhuwasabha,Female,Economic,4, 3373
 Sankhuwasabha,Female,Economic,5,2104
 Sankhuwasabha,Female,Economic,6, 9663
 Sankhuwasabha,Female,Economic,7,  3172
 Sankhuwasabha,Female,Economic,8,  6385
 Sankhuwasabha,Female,Economic,9,2452
 Sankhuwasabha,Female,Economic,10, 4862
 Sankhuwasabha,Female,Economic,11,  548
 Sankhuwasabha,Female,Economic,12, 5004
 Sankhuwasabha,Female,Extended Economic,0,  48704
 Sankhuwasabha,Female,Extended Economic,1,  5353
 Sankhuwasabha,Female,Extended Economic,2, 6866
 Sankhuwasabha,Female,Extended Economic,3,  2663
 Sankhuwasabha,Female,Extended Economic,4, 1260
 Sankhuwasabha,Female,Extended Economic,5,  146
 Sankhuwasabha,Female,Extended Economic,6,250
 Sankhuwasabha,Female,Extended Economic,7,  43
 Sankhuwasabha,Female,Extended Economic,8, 115
 Sankhuwasabha,Female,Extended Economic,9, 8
 Sankhuwasabha,Female,Extended Economic,10, 97
 Sankhuwasabha,Female,Extended Economic,11, 0
 Sankhuwasabha,Female,Extended Economic,12, 19
 Sankhuwasabha,Female,Seeking job,0,  63702
 Sankhuwasabha,Female,Seeking job,1, 584
 Sankhuwasabha,Female,Seeking job,2,618
 Sankhuwasabha,Female,Seeking job,3, 216
 Sankhuwasabha,Female,Seeking job,4,146
 Sankhuwasabha,Female,Seeking job,5,53
 Sankhuwasabha,Female,Seeking job,6, 76
 Sankhuwasabha,Female,Seeking job,7,  32
 Sankhuwasabha,Female,Seeking job,8,  27
 Sankhuwasabha,Female,Seeking job,9, 2
 Sankhuwasabha,Female,Seeking job,10, 19
 Sankhuwasabha,Female,Seeking job,11, 1
 Sankhuwasabha,Female,Seeking job,12, 49
 Sankhuwasabha,Female,Non-Economic,0,  6673
 Sankhuwasabha,Female,Non-Economic,1,  1327
 Sankhuwasabha,Female,Non-Economic,2, 6907
 Sankhuwasabha,Female,Non-Economic,3,  4249
 Sankhuwasabha,Female,Non-Economic,4, 7088
 Sankhuwasabha,Female,Non-Economic,5,3098
 Sankhuwasabha,Female,Non-Economic,6, 6525
 Sankhuwasabha,Female,Non-Economic,7,  1484
 Sankhuwasabha,Female,Non-Economic,8,  2440
 Sankhuwasabha,Female,Non-Economic,9,1880
 Sankhuwasabha,Female,Non-Economic,10, 6106
 Sankhuwasabha,Female,Non-Economic,11,1185
 Sankhuwasabha,Female,Non-Economic,12,16561
 Bhojpur,Male,Economic,0,20602
 Bhojpur,Male,Economic,1, 421
 Bhojpur,Male,Economic,2, 2873
 Bhojpur,Male,Economic,3, 891
 Bhojpur,Male,Economic,4, 1179
 Bhojpur,Male,Economic,5, 558
 Bhojpur,Male,Economic,6,  2645
 Bhojpur,Male,Economic,7,  1407
 Bhojpur,Male,Economic,8,  4483
 Bhojpur,Male,Economic,9,2974
 Bhojpur,Male,Economic,10, 4917
 Bhojpur,Male,Economic,11,  885
 Bhojpur,Male,Economic,12,20963
 Bhojpur,Male,Extended Economic,0,52380
 Bhojpur,Male,Extended Economic,1,  1873
 Bhojpur,Male,Extended Economic,2, 5128
 Bhojpur,Male,Extended Economic,3,  2117
 Bhojpur,Male,Extended Economic,4, 1993
 Bhojpur,Male,Extended Economic,5, 342
 Bhojpur,Male,Extended Economic,6, 680
 Bhojpur,Male,Extended Economic,7,  56
 Bhojpur,Male,Extended Economic,8,  89
 Bhojpur,Male,Extended Economic,9,25
 Bhojpur,Male,Extended Economic,10, 24
 Bhojpur,Male,Extended Economic,11, 0
 Bhojpur,Male,Extended Economic,12, 90
 Bhojpur,Male,Seeking job,0,60706
 Bhojpur,Male,Seeking job,1, 739
 Bhojpur,Male,Seeking job,2, 1491
 Bhojpur,Male,Seeking job,3, 542
 Bhojpur,Male,Seeking job,4,734
 Bhojpur,Male,Seeking job,5, 145
 Bhojpur,Male,Seeking job,6, 175
 Bhojpur,Male,Seeking job,7,  48
 Bhojpur,Male,Seeking job,8,  57
 Bhojpur,Male,Seeking job,9,23
 Bhojpur,Male,Seeking job,10, 16
 Bhojpur,Male,Seeking job,11, 8
 Bhojpur,Male,Seeking job,12,112
 Bhojpur,Male,Non-Economic,0,  30336
 Bhojpur,Male,Non-Economic,1,  1339
 Bhojpur,Male,Non-Economic,2, 3205
 Bhojpur,Male,Non-Economic,3,  1560
 Bhojpur,Male,Non-Economic,4, 1888
 Bhojpur,Male,Non-Economic,5, 421
 Bhojpur,Male,Non-Economic,6, 598
 Bhojpur,Male,Non-Economic,7, 396
 Bhojpur,Male,Non-Economic,8,  1230
 Bhojpur,Male,Non-Economic,9,  881
 Bhojpur,Male,Non-Economic,10, 3140
 Bhojpur,Male,Non-Economic,11,  380
 Bhojpur,Male,Non-Economic,12,19423
 Bhojpur,Female,Economic,0,  26291
 Bhojpur,Female,Economic,1, 584
 Bhojpur,Female,Economic,2, 3069
 Bhojpur,Female,Economic,3,  1418
 Bhojpur,Female,Economic,4, 2009
 Bhojpur,Female,Economic,5,1548
 Bhojpur,Female,Economic,6, 8213
 Bhojpur,Female,Economic,7,  3489
 Bhojpur,Female,Economic,8,  9517
 Bhojpur,Female,Economic,9,3402
 Bhojpur,Female,Economic,10, 5203
 Bhojpur,Female,Economic,11,  403
 Bhojpur,Female,Economic,12,11564
 Bhojpur,Female,Extended Economic,0,  60003
 Bhojpur,Female,Extended Economic,1,  2967
 Bhojpur,Female,Extended Economic,2, 7477
 Bhojpur,Female,Extended Economic,3,  2483
 Bhojpur,Female,Extended Economic,4, 2302
 Bhojpur,Female,Extended Economic,5,  317
 Bhojpur,Female,Extended Economic,6,730
 Bhojpur,Female,Extended Economic,7,  87
 Bhojpur,Female,Extended Economic,8, 152
 Bhojpur,Female,Extended Economic,9,47
 Bhojpur,Female,Extended Economic,10, 65
 Bhojpur,Female,Extended Economic,11, 0
 Bhojpur,Female,Extended Economic,12, 81
 Bhojpur,Female,Seeking job,0,  75148
 Bhojpur,Female,Seeking job,1, 267
 Bhojpur,Female,Seeking job,2,540
 Bhojpur,Female,Seeking job,3, 211
 Bhojpur,Female,Seeking job,4,304
 Bhojpur,Female,Seeking job,5,80
 Bhojpur,Female,Seeking job,6, 48
 Bhojpur,Female,Seeking job,7,8
 Bhojpur,Female,Seeking job,8,  25
 Bhojpur,Female,Seeking job,9,16
 Bhojpur,Female,Seeking job,10, 16
 Bhojpur,Female,Seeking job,11, 0
 Bhojpur,Female,Seeking job,12, 49
 Bhojpur,Female,Non-Economic,0, 15082
 Bhojpur,Female,Non-Economic,1,  1254
 Bhojpur,Female,Non-Economic,2, 7657
 Bhojpur,Female,Non-Economic,3,  4859
 Bhojpur,Female,Non-Economic,4, 9255
 Bhojpur,Female,Non-Economic,5,2391
 Bhojpur,Female,Non-Economic,6, 3906
 Bhojpur,Female,Non-Economic,7,  1057
 Bhojpur,Female,Non-Economic,8,  1742
 Bhojpur,Female,Non-Economic,9,1119
 Bhojpur,Female,Non-Economic,10, 3180
 Bhojpur,Female,Non-Economic,11,  614
 Bhojpur,Female,Non-Economic,12,24595
 Solukhumbu,Male,Economic,0, 10160
 Solukhumbu,Male,Economic,1,318
 Solukhumbu,Male,Economic,2, 3101
 Solukhumbu,Male,Economic,3, 555
 Solukhumbu,Male,Economic,4, 274
 Solukhumbu,Male,Economic,5,191
 Solukhumbu,Male,Economic,6,  1221
 Solukhumbu,Male,Economic,7,645
 Solukhumbu,Male,Economic,8,1697
 Solukhumbu,Male,Economic,9,1234
 Solukhumbu,Male,Economic,10,  3849
 Solukhumbu,Male,Economic,11,  706
 Solukhumbu,Male,Economic,12,15105
 Solukhumbu,Male,Extended Economic,0, 31596
 Solukhumbu,Male,Extended Economic,1, 1056
 Solukhumbu,Male,Extended Economic,2, 3589
 Solukhumbu,Male,Extended Economic,3,  1020
 Solukhumbu,Male,Extended Economic,4, 867
 Solukhumbu,Male,Extended Economic,5,112
 Solukhumbu,Male,Extended Economic,6, 513
 Solukhumbu,Male,Extended Economic,7, 24
 Solukhumbu,Male,Extended Economic,8,39
 Solukhumbu,Male,Extended Economic,9,32
 Solukhumbu,Male,Extended Economic,10,  64
 Solukhumbu,Male,Extended Economic,11, 0
 Solukhumbu,Male,Extended Economic,12,143
 Solukhumbu,Male,Seeking job,0, 36696
 Solukhumbu,Male,Seeking job,1,763
 Solukhumbu,Male,Seeking job,2,874
 Solukhumbu,Male,Seeking job,3, 261
 Solukhumbu,Male,Seeking job,4, 201
 Solukhumbu,Male,Seeking job,5, 31
 Solukhumbu,Male,Seeking job,6, 141
 Solukhumbu,Male,Seeking job,7,  0
 Solukhumbu,Male,Seeking job,8,32
 Solukhumbu,Male,Seeking job,9, 0
 Solukhumbu,Male,Seeking job,10,8
 Solukhumbu,Male,Seeking job,11,16
 Solukhumbu,Male,Seeking job,12, 32
 Solukhumbu,Male,Non-Economic,0,19921
 Solukhumbu,Male,Non-Economic,1,891
 Solukhumbu,Male,Non-Economic,2, 2691
 Solukhumbu,Male,Non-Economic,3, 595
 Solukhumbu,Male,Non-Economic,4, 572
 Solukhumbu,Male,Non-Economic,5,201
 Solukhumbu,Male,Non-Economic,6, 297
 Solukhumbu,Male,Non-Economic,7, 71
 Solukhumbu,Male,Non-Economic,8,  358
 Solukhumbu,Male,Non-Economic,9,  764
 Solukhumbu,Male,Non-Economic,10,  4280
 Solukhumbu,Male,Non-Economic,11,  287
 Solukhumbu,Male,Non-Economic,12, 8128
 Solukhumbu,Female,Economic,0,  13153
 Solukhumbu,Female,Economic,1, 411
 Solukhumbu,Female,Economic,2, 2790
 Solukhumbu,Female,Economic,3, 690
 Solukhumbu,Female,Economic,4,969
 Solukhumbu,Female,Economic,5, 407
 Solukhumbu,Female,Economic,6,  3367
 Solukhumbu,Female,Economic,7,  1210
 Solukhumbu,Female,Economic,8,  2962
 Solukhumbu,Female,Economic,9,1725
 Solukhumbu,Female,Economic,10,  5344
 Solukhumbu,Female,Economic,11,  283
 Solukhumbu,Female,Economic,12, 9852
 Solukhumbu,Female,Extended Economic,0,  35083
 Solukhumbu,Female,Extended Economic,1,  1165
 Solukhumbu,Female,Extended Economic,2, 3938
 Solukhumbu,Female,Extended Economic,3,  1318
 Solukhumbu,Female,Extended Economic,4,744
 Solukhumbu,Female,Extended Economic,5, 196
 Solukhumbu,Female,Extended Economic,6, 390
 Solukhumbu,Female,Extended Economic,7,  32
 Solukhumbu,Female,Extended Economic,8,  83
 Solukhumbu,Female,Extended Economic,9,33
 Solukhumbu,Female,Extended Economic,10,  75
 Solukhumbu,Female,Extended Economic,11, 8
 Solukhumbu,Female,Extended Economic,12, 96
 Solukhumbu,Female,Seeking job,0,  42644
 Solukhumbu,Female,Seeking job,1, 105
 Solukhumbu,Female,Seeking job,2,245
 Solukhumbu,Female,Seeking job,3,  65
 Solukhumbu,Female,Seeking job,4, 39
 Solukhumbu,Female,Seeking job,5,0
 Solukhumbu,Female,Seeking job,6,  40
 Solukhumbu,Female,Seeking job,7,0
 Solukhumbu,Female,Seeking job,8,  16
 Solukhumbu,Female,Seeking job,9, 0
 Solukhumbu,Female,Seeking job,10,0
 Solukhumbu,Female,Seeking job,11, 8
 Solukhumbu,Female,Seeking job,12,  0
 Solukhumbu,Female,Non-Economic,0, 11540
 Solukhumbu,Female,Non-Economic,1, 586
 Solukhumbu,Female,Non-Economic,2, 5877
 Solukhumbu,Female,Non-Economic,3,  2285
 Solukhumbu,Female,Non-Economic,4, 2717
 Solukhumbu,Female,Non-Economic,5, 878
 Solukhumbu,Female,Non-Economic,6,  2191
 Solukhumbu,Female,Non-Economic,7, 332
 Solukhumbu,Female,Non-Economic,8, 761
 Solukhumbu,Female,Non-Economic,9,  868
 Solukhumbu,Female,Non-Economic,10,  3748
 Solukhumbu,Female,Non-Economic,11,  399
 Solukhumbu,Female,Non-Economic,12,10979
 Okhaldhunga,Male,Economic,0,19840
 Okhaldhunga,Male,Economic,1,  105
 Okhaldhunga,Male,Economic,2,  625
 Okhaldhunga,Male,Economic,3,  148
 Okhaldhunga,Male,Economic,4,431
 Okhaldhunga,Male,Economic,5,120
 Okhaldhunga,Male,Economic,6,  1301
 Okhaldhunga,Male,Economic,7,651
 Okhaldhunga,Male,Economic,8,1901
 Okhaldhunga,Male,Economic,9, 876
 Okhaldhunga,Male,Economic,10,2751
 Okhaldhunga,Male,Economic,11,  588
 Okhaldhunga,Male,Economic,12,22153
 Okhaldhunga,Male,Extended Economic,0,47394
 Okhaldhunga,Male,Extended Economic,1,  744
 Okhaldhunga,Male,Extended Economic,2,1690
 Okhaldhunga,Male,Extended Economic,3,  451
 Okhaldhunga,Male,Extended Economic,4,549
 Okhaldhunga,Male,Extended Economic,5,112
 Okhaldhunga,Male,Extended Economic,6, 324
 Okhaldhunga,Male,Extended Economic,7, 16
 Okhaldhunga,Male,Extended Economic,8,72
 Okhaldhunga,Male,Extended Economic,9,  24
 Okhaldhunga,Male,Extended Economic,10,25
 Okhaldhunga,Male,Extended Economic,11, 8
 Okhaldhunga,Male,Extended Economic,12, 82
 Okhaldhunga,Male,Seeking job,0,48960
 Okhaldhunga,Male,Seeking job,1,  391
 Okhaldhunga,Male,Seeking job,2,  882
 Okhaldhunga,Male,Seeking job,3,  239
 Okhaldhunga,Male,Seeking job,4,371
 Okhaldhunga,Male,Seeking job,5,100
 Okhaldhunga,Male,Seeking job,6, 225
 Okhaldhunga,Male,Seeking job,7, 33
 Okhaldhunga,Male,Seeking job,8,50
 Okhaldhunga,Male,Seeking job,9,9
 Okhaldhunga,Male,Seeking job,10,66
 Okhaldhunga,Male,Seeking job,11,33
 Okhaldhunga,Male,Seeking job,12,132
 Okhaldhunga,Male,Non-Economic,0,  26609
 Okhaldhunga,Male,Non-Economic,1,  601
 Okhaldhunga,Male,Non-Economic,2,1514
 Okhaldhunga,Male,Non-Economic,3,  456
 Okhaldhunga,Male,Non-Economic,4,989
 Okhaldhunga,Male,Non-Economic,5,300
 Okhaldhunga,Male,Non-Economic,6, 542
 Okhaldhunga,Male,Non-Economic,7, 39
 Okhaldhunga,Male,Non-Economic,8,  257
 Okhaldhunga,Male,Non-Economic,9,  90
 Okhaldhunga,Male,Non-Economic,10,  678
 Okhaldhunga,Male,Non-Economic,11,63
 Okhaldhunga,Male,Non-Economic,12,19354
 Okhaldhunga,Female,Economic,0,  25049
 Okhaldhunga,Female,Economic,1,  211
 Okhaldhunga,Female,Economic,2,  860
 Okhaldhunga,Female,Economic,3, 345
 Okhaldhunga,Female,Economic,4,912
 Okhaldhunga,Female,Economic,5,  641
 Okhaldhunga,Female,Economic,6, 4595
 Okhaldhunga,Female,Economic,7,  1872
 Okhaldhunga,Female,Economic,8,  5378
 Okhaldhunga,Female,Economic,9,2648
 Okhaldhunga,Female,Economic,10,  4471
 Okhaldhunga,Female,Economic,11,  422
 Okhaldhunga,Female,Economic,12,15832
 Okhaldhunga,Female,Extended Economic,0,  58514
 Okhaldhunga,Female,Extended Economic,1,  918
 Okhaldhunga,Female,Extended Economic,2,2007
 Okhaldhunga,Female,Extended Economic,3, 601
 Okhaldhunga,Female,Extended Economic,4,730
 Okhaldhunga,Female,Extended Economic,5,56
 Okhaldhunga,Female,Extended Economic,6,185
 Okhaldhunga,Female,Extended Economic,7,  16
 Okhaldhunga,Female,Extended Economic,8,  64
 Okhaldhunga,Female,Extended Economic,9, 0
 Okhaldhunga,Female,Extended Economic,10,  24
 Okhaldhunga,Female,Extended Economic,11, 0
