District,Gender,Age-Group,Type of activity,Value
Ilam,Male,10 - 14 Years,Seeking job only,1
Ilam,Male,10 - 14 Years,Non economic only, 14876
Ilam,Male,10 - 14 Years,Activity not stated, 186
Ilam,Male,15 - 19 Years,Economic only,2243
Ilam,Male,15 - 19 Years,Extended economic only,  18
Ilam,Male,15 - 19 Years,Seeking job only,  30
Ilam,Male,15 - 19 Years,Non economic only,  9938
Ilam,Male,15 - 19 Years,Activity not stated, 136
Ilam,Male,20 - 24 Years,Economic only,4383
Ilam,Male,20 - 24 Years,Extended economic only,  39
Ilam,Male,20 - 24 Years,Seeking job only,  94
Ilam,Male,20 - 24 Years,Non economic only,  2904
Ilam,Male,20 - 24 Years,Activity not stated, 119
Ilam,Male,25 - 29 Years,Economic only,5033
Ilam,Male,25 - 29 Years,Extended economic only,  28
Ilam,Male,25 - 29 Years,Seeking job only,  61
Ilam,Male,25 - 29 Years,Non economic only, 670
Ilam,Male,25 - 29 Years,Activity not stated, 105
Ilam,Male,30 - 34 Years,Economic only,5056
Ilam,Male,30 - 34 Years,Extended economic only,  43
Ilam,Male,30 - 34 Years,Seeking job only,  22
Ilam,Male,30 - 34 Years,Non economic only, 247
Ilam,Male,30 - 34 Years,Activity not stated,  44
Ilam,Male,35 - 39 Years,Economic only,5041
Ilam,Male,35 - 39 Years,Extended economic only,1
Ilam,Male,35 - 39 Years,Seeking job only,  15
Ilam,Male,35 - 39 Years,Non economic only, 210
Ilam,Male,35 - 39 Years,Activity not stated,  34
Ilam,Male,40 - 44 Years,Economic only,4939
Ilam,Male,40 - 44 Years,Extended economic only,  20
Ilam,Male,40 - 44 Years,Seeking job only,  12
Ilam,Male,40 - 44 Years,Non economic only, 134
Ilam,Male,40 - 44 Years,Activity not stated,  17
Ilam,Male,45 - 49 Years,Economic only,4527
Ilam,Male,45 - 49 Years,Extended economic only,  53
Ilam,Male,45 - 49 Years,Seeking job only,  17
Ilam,Male,45 - 49 Years,Non economic only, 131
Ilam,Male,45 - 49 Years,Activity not stated,  34
Ilam,Male,50 - 54 Years,Economic only,4140
Ilam,Male,50 - 54 Years,Extended economic only,0
Ilam,Male,50 - 54 Years,Seeking job only,1
Ilam,Male,50 - 54 Years,Non economic only, 170
Ilam,Male,50 - 54 Years,Activity not stated,  17
Ilam,Male,55 - 59 Years,Economic only,2973
Ilam,Male,55 - 59 Years,Extended economic only,  45
Ilam,Male,55 - 59 Years,Seeking job only,0
Ilam,Male,55 - 59 Years,Non economic only, 210
Ilam,Male,55 - 59 Years,Activity not stated,  17
Ilam,Male,60 - 64 Years,Economic only,2351
Ilam,Male,60 - 64 Years,Extended economic only,  10
Ilam,Male,60 - 64 Years,Seeking job only,0
Ilam,Male,60 - 64 Years,Non economic only, 322
Ilam,Male,60 - 64 Years,Activity not stated,1
Ilam,Male,65 - 69 Years,Economic only,1360
Ilam,Male,65 - 69 Years,Extended economic only,1
Ilam,Male,65 - 69 Years,Seeking job only,0
Ilam,Male,65 - 69 Years,Non economic only, 487
Ilam,Male,65 - 69 Years,Activity not stated,8
Ilam,Male,70 - 74 Years,Economic only,  820
Ilam,Male,70 - 74 Years,Extended economic only,  16
Ilam,Male,70 - 74 Years,Seeking job only,1
Ilam,Male,70 - 74 Years,Non economic only, 639
Ilam,Male,70 - 74 Years,Activity not stated,1
Ilam,Male,75+ Years,Economic only,552
Ilam,Male,75+ Years,Extended economic only,8
Ilam,Male,75+ Years,Seeking job only,0
Ilam,Male,75+ Years,Non economic only,  1640
Ilam,Male,75+ Years,Activity not stated,  16
Ilam,Female,10 - 14 Years,Economic only,  116
Ilam,Female,10 - 14 Years,Extended economic only,1
Ilam,Female,10 - 14 Years,Seeking job only,9
Ilam,Female,10 - 14 Years,Non economic only, 15394
Ilam,Female,10 - 14 Years,Activity not stated, 132
Ilam,Female,15 - 19 Years,Economic only,1289
Ilam,Female,15 - 19 Years,Extended economic only,  26
Ilam,Female,15 - 19 Years,Seeking job only,  11
Ilam,Female,15 - 19 Years,Non economic only, 11707
Ilam,Female,15 - 19 Years,Activity not stated, 118
Ilam,Female,20 - 24 Years,Economic only,2494
Ilam,Female,20 - 24 Years,Extended economic only,  22
Ilam,Female,20 - 24 Years,Seeking job only,  22
Ilam,Female,20 - 24 Years,Non economic only,  5072
Ilam,Female,20 - 24 Years,Activity not stated, 104
Ilam,Female,25 - 29 Years,Economic only,3217
Ilam,Female,25 - 29 Years,Extended economic only,  36
Ilam,Female,25 - 29 Years,Seeking job only,9
Ilam,Female,25 - 29 Years,Non economic only,  2136
Ilam,Female,25 - 29 Years,Activity not stated,  89
Ilam,Female,30 - 34 Years,Economic only,2745
Ilam,Female,30 - 34 Years,Extended economic only,  20
Ilam,Female,30 - 34 Years,Seeking job only,  23
Ilam,Female,30 - 34 Years,Non economic only,  1119
Ilam,Female,30 - 34 Years,Activity not stated,  70
Ilam,Female,35 - 39 Years,Economic only,2252
Ilam,Female,35 - 39 Years,Extended economic only,  22
Ilam,Female,35 - 39 Years,Seeking job only,2
Ilam,Female,35 - 39 Years,Non economic only, 853
Ilam,Female,35 - 39 Years,Activity not stated,  47
Ilam,Female,40 - 44 Years,Economic only,2015
Ilam,Female,40 - 44 Years,Extended economic only,  10
Ilam,Female,40 - 44 Years,Seeking job only,0
Ilam,Female,40 - 44 Years,Non economic only, 792
Ilam,Female,40 - 44 Years,Activity not stated,  33
Ilam,Female,45 - 49 Years,Economic only,1807
Ilam,Female,45 - 49 Years,Extended economic only,2
Ilam,Female,45 - 49 Years,Seeking job only,1
Ilam,Female,45 - 49 Years,Non economic only, 611
Ilam,Female,45 - 49 Years,Activity not stated,  25
Ilam,Female,50 - 54 Years,Economic only,1499
Ilam,Female,50 - 54 Years,Extended economic only,  25
Ilam,Female,50 - 54 Years,Seeking job only,  26
Ilam,Female,50 - 54 Years,Non economic only, 818
Ilam,Female,50 - 54 Years,Activity not stated,  34
Ilam,Female,55 - 59 Years,Economic only,  974
Ilam,Female,55 - 59 Years,Extended economic only,0
Ilam,Female,55 - 59 Years,Seeking job only,0
Ilam,Female,55 - 59 Years,Non economic only, 884
Ilam,Female,55 - 59 Years,Activity not stated,  17
Ilam,Female,60 - 64 Years,Economic only,  845
Ilam,Female,60 - 64 Years,Extended economic only,9
Ilam,Female,60 - 64 Years,Seeking job only,0
Ilam,Female,60 - 64 Years,Non economic only,  1026
Ilam,Female,60 - 64 Years,Activity not stated,  26
Ilam,Female,65 - 69 Years,Economic only,  351
Ilam,Female,65 - 69 Years,Extended economic only,0
Ilam,Female,65 - 69 Years,Seeking job only,0
Ilam,Female,65 - 69 Years,Non economic only,  1166
Ilam,Female,65 - 69 Years,Activity not stated,  25
Ilam,Female,70 - 74 Years,Economic only,  202
Ilam,Female,70 - 74 Years,Extended economic only,0
Ilam,Female,70 - 74 Years,Seeking job only,0
Ilam,Female,70 - 74 Years,Non economic only,  1148
Ilam,Female,70 - 74 Years,Activity not stated,  17
Ilam,Female,75+ Years,Economic only,131
Ilam,Female,75+ Years,Extended economic only,0
Ilam,Female,75+ Years,Seeking job only,0
Ilam,Female,75+ Years,Non economic only,  1971
Ilam,Female,75+ Years,Activity not stated,  32
Jhapa,Both Sexes,10 - 14 Years,Economic only,1249
Jhapa,Both Sexes,10 - 14 Years,Extended economic only,  74
Jhapa,Both Sexes,10 - 14 Years,Seeking job only,  93
Jhapa,Both Sexes,10 - 14 Years,Non economic only,89460
Jhapa,Both Sexes,10 - 14 Years,Activity not stated,  550
Jhapa,Both Sexes,15 - 19 Years,Economic only,  10621
Jhapa,Both Sexes,15 - 19 Years,Extended economic only, 169
Jhapa,Both Sexes,15 - 19 Years,Seeking job only, 520
Jhapa,Both Sexes,15 - 19 Years,Non economic only,66658
Jhapa,Both Sexes,15 - 19 Years,Activity not stated,  287
Jhapa,Both Sexes,20 - 24 Years,Economic only,  22973
Jhapa,Both Sexes,20 - 24 Years,Extended economic only, 259
Jhapa,Both Sexes,20 - 24 Years,Seeking job only, 976
Jhapa,Both Sexes,20 - 24 Years,Non economic only,34741
Jhapa,Both Sexes,20 - 24 Years,Activity not stated,  175
Jhapa,Both Sexes,25 - 29 Years,Economic only,  29436
Jhapa,Both Sexes,25 - 29 Years,Extended economic only, 393
Jhapa,Both Sexes,25 - 29 Years,Seeking job only, 985
Jhapa,Both Sexes,25 - 29 Years,Non economic only,20476
Jhapa,Both Sexes,25 - 29 Years,Activity not stated,  144
Jhapa,Both Sexes,30 - 34 Years,Economic only,  30566
Jhapa,Both Sexes,30 - 34 Years,Extended economic only, 354
Jhapa,Both Sexes,30 - 34 Years,Seeking job only, 605
Jhapa,Both Sexes,30 - 34 Years,Non economic only,13566
Jhapa,Both Sexes,30 - 34 Years,Activity not stated,  148
Jhapa,Both Sexes,35 - 39 Years,Economic only,  31072
Jhapa,Both Sexes,35 - 39 Years,Extended economic only, 314
Jhapa,Both Sexes,35 - 39 Years,Seeking job only, 317
Jhapa,Both Sexes,35 - 39 Years,Non economic only,10371
Jhapa,Both Sexes,35 - 39 Years,Activity not stated,58
Jhapa,Both Sexes,40 - 44 Years,Economic only,  28016
Jhapa,Both Sexes,40 - 44 Years,Extended economic only, 183
Jhapa,Both Sexes,40 - 44 Years,Seeking job only, 226
Jhapa,Both Sexes,40 - 44 Years,Non economic only, 7905
Jhapa,Both Sexes,40 - 44 Years,Activity not stated,74
Jhapa,Both Sexes,45 - 49 Years,Economic only,  23759
Jhapa,Both Sexes,45 - 49 Years,Extended economic only, 246
Jhapa,Both Sexes,45 - 49 Years,Seeking job only, 162
Jhapa,Both Sexes,45 - 49 Years,Non economic only, 7302
Jhapa,Both Sexes,45 - 49 Years,Activity not stated,58
Jhapa,Both Sexes,50 - 54 Years,Economic only,  21124
Jhapa,Both Sexes,50 - 54 Years,Extended economic only, 168
Jhapa,Both Sexes,50 - 54 Years,Seeking job only, 133
Jhapa,Both Sexes,50 - 54 Years,Non economic only, 6854
Jhapa,Both Sexes,50 - 54 Years,Activity not stated,16
Jhapa,Both Sexes,55 - 59 Years,Economic only,  15814
Jhapa,Both Sexes,55 - 59 Years,Extended economic only, 192
Jhapa,Both Sexes,55 - 59 Years,Seeking job only,  89
Jhapa,Both Sexes,55 - 59 Years,Non economic only, 6190
Jhapa,Both Sexes,55 - 59 Years,Activity not stated,33
Jhapa,Both Sexes,60 - 64 Years,Economic only,  12654
Jhapa,Both Sexes,60 - 64 Years,Extended economic only, 157
Jhapa,Both Sexes,60 - 64 Years,Seeking job only,  50
Jhapa,Both Sexes,60 - 64 Years,Non economic only, 7778
Jhapa,Both Sexes,60 - 64 Years,Activity not stated,41
Jhapa,Both Sexes,65 - 69 Years,Economic only,7841
Jhapa,Both Sexes,65 - 69 Years,Extended economic only,  93
Jhapa,Both Sexes,65 - 69 Years,Seeking job only,  36
Jhapa,Both Sexes,65 - 69 Years,Non economic only, 6849
Jhapa,Both Sexes,65 - 69 Years,Activity not stated,40
Jhapa,Both Sexes,70 - 74 Years,Economic only,4246
Jhapa,Both Sexes,70 - 74 Years,Extended economic only,  64
Jhapa,Both Sexes,70 - 74 Years,Seeking job only,9
Jhapa,Both Sexes,70 - 74 Years,Non economic only, 7029
Jhapa,Both Sexes,70 - 74 Years,Activity not stated,26
Jhapa,Both Sexes,75+ Years,Economic only, 2516
Jhapa,Both Sexes,75+ Years,Extended economic only,  32
Jhapa,Both Sexes,75+ Years,Seeking job only,8
Jhapa,Both Sexes,75+ Years,Non economic only,12729
Jhapa,Both Sexes,75+ Years,Activity not stated,63
Jhapa,Male,10 - 14 Years,Economic only,  742
Jhapa,Male,10 - 14 Years,Extended economic only,  57
Jhapa,Male,10 - 14 Years,Seeking job only,  75
Jhapa,Male,10 - 14 Years,Non economic only,44953
Jhapa,Male,10 - 14 Years,Activity not stated, 239
Jhapa,Male,15 - 19 Years,Economic only,7119
Jhapa,Male,15 - 19 Years,Extended economic only,  87
Jhapa,Male,15 - 19 Years,Seeking job only, 401
Jhapa,Male,15 - 19 Years,Non economic only,30219
Jhapa,Male,15 - 19 Years,Activity not stated, 142
Jhapa,Male,20 - 24 Years,Economic only,  13881
Jhapa,Male,20 - 24 Years,Extended economic only,  83
Jhapa,Male,20 - 24 Years,Seeking job only, 709
Jhapa,Male,20 - 24 Years,Non economic only,10153
Jhapa,Male,20 - 24 Years,Activity not stated,  99
Jhapa,Male,25 - 29 Years,Economic only,  18392
Jhapa,Male,25 - 29 Years,Extended economic only, 199
Jhapa,Male,25 - 29 Years,Seeking job only, 797
Jhapa,Male,25 - 29 Years,Non economic only, 2783
Jhapa,Male,25 - 29 Years,Activity not stated,  42
Jhapa,Male,30 - 34 Years,Economic only,  19871
Jhapa,Male,30 - 34 Years,Extended economic only, 176
Jhapa,Male,30 - 34 Years,Seeking job only, 485
Jhapa,Male,30 - 34 Years,Non economic only, 1212
Jhapa,Male,30 - 34 Years,Activity not stated,  76
Jhapa,Male,35 - 39 Years,Economic only,  20312
Jhapa,Male,35 - 39 Years,Extended economic only, 181
Jhapa,Male,35 - 39 Years,Seeking job only, 271
Jhapa,Male,35 - 39 Years,Non economic only,774
Jhapa,Male,35 - 39 Years,Activity not stated,  17
Jhapa,Male,40 - 44 Years,Economic only,  18824
Jhapa,Male,40 - 44 Years,Extended economic only, 102
Jhapa,Male,40 - 44 Years,Seeking job only, 144
Jhapa,Male,40 - 44 Years,Non economic only,793
Jhapa,Male,40 - 44 Years,Activity not stated,  50
Jhapa,Male,45 - 49 Years,Economic only,  16424
Jhapa,Male,45 - 49 Years,Extended economic only, 139
Jhapa,Male,45 - 49 Years,Seeking job only,  69
Jhapa,Male,45 - 49 Years,Non economic only,607
Jhapa,Male,45 - 49 Years,Activity not stated,  17
Jhapa,Male,50 - 54 Years,Economic only,  14467
Jhapa,Male,50 - 54 Years,Extended economic only,  77
Jhapa,Male,50 - 54 Years,Seeking job only,  81
Jhapa,Male,50 - 54 Years,Non economic only,814
Jhapa,Male,50 - 54 Years,Activity not stated,8
Jhapa,Male,55 - 59 Years,Economic only,  11129
Jhapa,Male,55 - 59 Years,Extended economic only, 101
Jhapa,Male,55 - 59 Years,Seeking job only,  24
Jhapa,Male,55 - 59 Years,Non economic only,929
Jhapa,Male,55 - 59 Years,Activity not stated,  25
Jhapa,Male,60 - 64 Years,Economic only,9225
Jhapa,Male,60 - 64 Years,Extended economic only,  83
Jhapa,Male,60 - 64 Years,Seeking job only,  25
Jhapa,Male,60 - 64 Years,Non economic only, 1578
Jhapa,Male,60 - 64 Years,Activity not stated,  33
Jhapa,Male,65 - 69 Years,Economic only,5913
Jhapa,Male,65 - 69 Years,Extended economic only,  61
Jhapa,Male,65 - 69 Years,Seeking job only,  17
Jhapa,Male,65 - 69 Years,Non economic only, 1798
Jhapa,Male,65 - 69 Years,Activity not stated,  16
Jhapa,Male,70 - 74 Years,Economic only,3423
Jhapa,Male,70 - 74 Years,Extended economic only,  56
Jhapa,Male,70 - 74 Years,Seeking job only,8
Jhapa,Male,70 - 74 Years,Non economic only, 2366
Jhapa,Male,70 - 74 Years,Activity not stated,  16
Jhapa,Male,75+ Years,Economic only, 2024
Jhapa,Male,75+ Years,Extended economic only,8
Jhapa,Male,75+ Years,Seeking job only,8
Jhapa,Male,75+ Years,Non economic only, 5275
Jhapa,Male,75+ Years,Activity not stated,8
Jhapa,Female,10 - 14 Years,Economic only,  508
Jhapa,Female,10 - 14 Years,Extended economic only,  17
Jhapa,Female,10 - 14 Years,Seeking job only,  18
Jhapa,Female,10 - 14 Years,Non economic only,44506
Jhapa,Female,10 - 14 Years,Activity not stated, 311
Jhapa,Female,15 - 19 Years,Economic only,3501
Jhapa,Female,15 - 19 Years,Extended economic only,  82
Jhapa,Female,15 - 19 Years,Seeking job only, 119
Jhapa,Female,15 - 19 Years,Non economic only,36439
Jhapa,Female,15 - 19 Years,Activity not stated, 145
Jhapa,Female,20 - 24 Years,Economic only,9092
Jhapa,Female,20 - 24 Years,Extended economic only, 176
Jhapa,Female,20 - 24 Years,Seeking job only, 267
Jhapa,Female,20 - 24 Years,Non economic only,24588
Jhapa,Female,20 - 24 Years,Activity not stated,  76
Jhapa,Female,25 - 29 Years,Economic only,  11044
Jhapa,Female,25 - 29 Years,Extended economic only, 194
Jhapa,Female,25 - 29 Years,Seeking job only, 188
Jhapa,Female,25 - 29 Years,Non economic only,17694
Jhapa,Female,25 - 29 Years,Activity not stated, 102
Jhapa,Female,30 - 34 Years,Economic only,  10695
Jhapa,Female,30 - 34 Years,Extended economic only, 178
Jhapa,Female,30 - 34 Years,Seeking job only, 120
Jhapa,Female,30 - 34 Years,Non economic only,12354
Jhapa,Female,30 - 34 Years,Activity not stated,  72
Jhapa,Female,35 - 39 Years,Economic only,  10760
Jhapa,Female,35 - 39 Years,Extended economic only, 133
Jhapa,Female,35 - 39 Years,Seeking job only,  46
Jhapa,Female,35 - 39 Years,Non economic only, 9596
Jhapa,Female,35 - 39 Years,Activity not stated,  41
Jhapa,Female,40 - 44 Years,Economic only,9192
Jhapa,Female,40 - 44 Years,Extended economic only,  81
Jhapa,Female,40 - 44 Years,Seeking job only,  81
Jhapa,Female,40 - 44 Years,Non economic only, 7112
Jhapa,Female,40 - 44 Years,Activity not stated,  24
Jhapa,Female,45 - 49 Years,Economic only,7334
Jhapa,Female,45 - 49 Years,Extended economic only, 107
Jhapa,Female,45 - 49 Years,Seeking job only,  92
Jhapa,Female,45 - 49 Years,Non economic only, 6695
Jhapa,Female,45 - 49 Years,Activity not stated,  41
Jhapa,Female,50 - 54 Years,Economic only,6657
Jhapa,Female,50 - 54 Years,Extended economic only,  91
Jhapa,Female,50 - 54 Years,Seeking job only,  52
Jhapa,Female,50 - 54 Years,Non economic only, 6040
Jhapa,Female,50 - 54 Years,Activity not stated,8
Jhapa,Female,55 - 59 Years,Economic only,4684
Jhapa,Female,55 - 59 Years,Extended economic only,  91
Jhapa,Female,55 - 59 Years,Seeking job only,  65
Jhapa,Female,55 - 59 Years,Non economic only, 5260
Jhapa,Female,55 - 59 Years,Activity not stated,8
Jhapa,Female,60 - 64 Years,Economic only,3429
Jhapa,Female,60 - 64 Years,Extended economic only,  74
Jhapa,Female,60 - 64 Years,Seeking job only,  25
Jhapa,Female,60 - 64 Years,Non economic only, 6200
Jhapa,Female,60 - 64 Years,Activity not stated,8
Jhapa,Female,65 - 69 Years,Economic only,1928
Jhapa,Female,65 - 69 Years,Extended economic only,  33
Jhapa,Female,65 - 69 Years,Seeking job only,  18
Jhapa,Female,65 - 69 Years,Non economic only, 5051
Jhapa,Female,65 - 69 Years,Activity not stated,  24
Jhapa,Female,70 - 74 Years,Economic only,  823
Jhapa,Female,70 - 74 Years,Extended economic only,8
Jhapa,Female,70 - 74 Years,Seeking job only,1
Jhapa,Female,70 - 74 Years,Non economic only, 4664
Jhapa,Female,70 - 74 Years,Activity not stated,  10
Jhapa,Female,75+ Years,Economic only,491
Jhapa,Female,75+ Years,Extended economic only,  24
Jhapa,Female,75+ Years,Seeking job only,0
Jhapa,Female,75+ Years,Non economic only, 7455
Jhapa,Female,75+ Years,Activity not stated,  55
Morang,Both Sexes,10 - 14 Years,Economic only,1313
Morang,Both Sexes,10 - 14 Years,Extended economic only,  89
Morang,Both Sexes,10 - 14 Years,Seeking job only,  88
Morang,Both Sexes,10 - 14 Years,Non economic only,  107814
Morang,Both Sexes,10 - 14 Years,Activity not stated,  823
Morang,Both Sexes,15 - 19 Years,Economic only,9496
Morang,Both Sexes,15 - 19 Years,Extended economic only, 138
Morang,Both Sexes,15 - 19 Years,Seeking job only, 512
Morang,Both Sexes,15 - 19 Years,Non economic only,78713
Morang,Both Sexes,15 - 19 Years,Activity not stated,  668
Morang,Both Sexes,20 - 24 Years,Economic only,  19814
Morang,Both Sexes,20 - 24 Years,Extended economic only, 237
Morang,Both Sexes,20 - 24 Years,Seeking job only, 761
Morang,Both Sexes,20 - 24 Years,Non economic only,40068
Morang,Both Sexes,20 - 24 Years,Activity not stated,  434
Morang,Both Sexes,25 - 29 Years,Economic only,  27091
Morang,Both Sexes,25 - 29 Years,Extended economic only, 421
Morang,Both Sexes,25 - 29 Years,Seeking job only, 825
Morang,Both Sexes,25 - 29 Years,Non economic only,23801
Morang,Both Sexes,25 - 29 Years,Activity not stated,  375
Morang,Both Sexes,30 - 34 Years,Economic only,  27720
Morang,Both Sexes,30 - 34 Years,Extended economic only, 290
Morang,Both Sexes,30 - 34 Years,Seeking job only, 467
Morang,Both Sexes,30 - 34 Years,Non economic only,16949
Morang,Both Sexes,30 - 34 Years,Activity not stated,  182
Morang,Both Sexes,35 - 39 Years,Economic only,  27736
