District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Literacy Status,Gender,Population under 16 years of age living with,Number
 Terhathum,,,,,,Literacy not stated,Male,Parents,0
 Terhathum,,,,,,Literacy not stated,Male,Mother,0
 Terhathum,,,,,,Literacy not stated,Male,Father,0
 Terhathum,,,,,,Literacy not stated,Male,Father and step mother,0
 Terhathum,,,,,,Literacy not stated,Male,Mother and step father,0
 Terhathum,,,,,,Literacy not stated,Male,Other relatives,0
 Terhathum,,,,,,Literacy not stated,Male,Employer,0
 Terhathum,,,,,,Literacy not stated,Male,Others,0
 Terhathum,,,,,,Literacy not stated,Male,Not stated,0
 Terhathum,,,,,,Illiterate,  Female,Parents,864
 Terhathum,,,,,,Illiterate,  Female,Mother,155
 Terhathum,,,,,,Illiterate,  Female,Father,8
 Terhathum,,,,,,Illiterate,  Female,Father and step mother,16
 Terhathum,,,,,,Illiterate,  Female,Mother and step father,0
 Terhathum,,,,,,Illiterate,  Female,Other relatives,24
 Terhathum,,,,,,Illiterate,  Female,Employer,0
 Terhathum,,,,,,Illiterate,  Female,Others,49
 Terhathum,,,,,,Illiterate,  Female,Not stated,24
 Terhathum,,,,,,Literate,  Female,Parents,10394
 Terhathum,,,,,,Literate,  Female,Mother,1561
 Terhathum,,,,,,Literate,  Female,Father,122
 Terhathum,,,,,,Literate,  Female,Father and step mother,73
 Terhathum,,,,,,Literate,  Female,Mother and step father,0
 Terhathum,,,,,,Literate,  Female,Other relatives,106
 Terhathum,,,,,,Literate,  Female,Employer,8
 Terhathum,,,,,,Literate,  Female,Others,252
 Terhathum,,,,,,Literate,  Female,Not stated,81
 Terhathum,,,,,,Literacy not stated,  Female,Parents,0
 Terhathum,,,,,,Literacy not stated,  Female,Mother,0
 Terhathum,,,,,,Literacy not stated,  Female,Father,0
 Terhathum,,,,,,Literacy not stated,  Female,Father and step mother,0
 Terhathum,,,,,,Literacy not stated,  Female,Mother and step father,0
 Terhathum,,,,,,Literacy not stated,  Female,Other relatives,0
 Terhathum,,,,,,Literacy not stated,  Female,Employer,0
 Terhathum,,,,,,Literacy not stated,  Female,Others,0
 Terhathum,,,,,,Literacy not stated,  Female,Not stated,0
 Sankhuwasabha,,,,,,Illiterate,Male,Parents,2857
 Sankhuwasabha,,,,,,Illiterate,Male,Mother,310
 Sankhuwasabha,,,,,,Illiterate,Male,Father,17
 Sankhuwasabha,,,,,,Illiterate,Male,Father and step mother,34
 Sankhuwasabha,,,,,,Illiterate,Male,Mother and step father,4
 Sankhuwasabha,,,,,,Illiterate,Male,Other relatives,15
 Sankhuwasabha,,,,,,Illiterate,Male,Employer,1
 Sankhuwasabha,,,,,,Illiterate,Male,Others,59
 Sankhuwasabha,,,,,,Illiterate,Male,Not stated,21
 Sankhuwasabha,,,,,,Literate,Male,Parents,16339
 Sankhuwasabha,,,,,,Literate,Male,Mother,1989
 Sankhuwasabha,,,,,,Literate,Male,Father,213
 Sankhuwasabha,,,,,,Literate,Male,Father and step mother,102
 Sankhuwasabha,,,,,,Literate,Male,Mother and step father,18
 Sankhuwasabha,,,,,,Literate,Male,Other relatives,138
 Sankhuwasabha,,,,,,Literate,Male,Employer,10
 Sankhuwasabha,,,,,,Literate,Male,Others,454
 Sankhuwasabha,,,,,,Literate,Male,Not stated,102
 Sankhuwasabha,,,,,,Literacy not stated,Male,Parents,2
 Sankhuwasabha,,,,,,Literacy not stated,Male,Mother,0
 Sankhuwasabha,,,,,,Literacy not stated,Male,Father,0
 Sankhuwasabha,,,,,,Literacy not stated,Male,Father and step mother,0
 Sankhuwasabha,,,,,,Literacy not stated,Male,Mother and step father,0
 Sankhuwasabha,,,,,,Literacy not stated,Male,Other relatives,0
 Sankhuwasabha,,,,,,Literacy not stated,Male,Employer,0
 Sankhuwasabha,,,,,,Literacy not stated,Male,Others,0
 Sankhuwasabha,,,,,,Literacy not stated,Male,Not stated,0
 Sankhuwasabha,,,,,,Illiterate,  Female,Parents,2636
 Sankhuwasabha,,,,,,Illiterate,  Female,Mother,384
 Sankhuwasabha,,,,,,Illiterate,  Female,Father,29
 Sankhuwasabha,,,,,,Illiterate,  Female,Father and step mother,4
 Sankhuwasabha,,,,,,Illiterate,  Female,Mother and step father,16
 Sankhuwasabha,,,,,,Illiterate,  Female,Other relatives,22
 Sankhuwasabha,,,,,,Illiterate,  Female,Employer,0
 Sankhuwasabha,,,,,,Illiterate,  Female,Others,83
 Sankhuwasabha,,,,,,Illiterate,  Female,Not stated,14
 Sankhuwasabha,,,,,,Literate,  Female,Parents,16573
 Sankhuwasabha,,,,,,Literate,  Female,Mother,1991
 Sankhuwasabha,,,,,,Literate,  Female,Father,177
 Sankhuwasabha,,,,,,Literate,  Female,Father and step mother,71
 Sankhuwasabha,,,,,,Literate,  Female,Mother and step father,20
 Sankhuwasabha,,,,,,Literate,  Female,Other relatives,178
 Sankhuwasabha,,,,,,Literate,  Female,Employer,2
 Sankhuwasabha,,,,,,Literate,  Female,Others,404
 Sankhuwasabha,,,,,,Literate,  Female,Not stated,105
 Sankhuwasabha,,,,,,Literacy not stated,  Female,Parents,2
 Sankhuwasabha,,,,,,Literacy not stated,  Female,Mother,0
 Sankhuwasabha,,,,,,Literacy not stated,  Female,Father,0
 Sankhuwasabha,,,,,,Literacy not stated,  Female,Father and step mother,0
 Sankhuwasabha,,,,,,Literacy not stated,  Female,Mother and step father,0
 Sankhuwasabha,,,,,,Literacy not stated,  Female,Other relatives,0
 Sankhuwasabha,,,,,,Literacy not stated,  Female,Employer,0
 Sankhuwasabha,,,,,,Literacy not stated,  Female,Others,0
 Sankhuwasabha,,,,,,Literacy not stated,  Female,Not stated,0
 Bhojpur,,,,,,Illiterate,Male,Parents,3111
 Bhojpur,,,,,,Illiterate,Male,Mother,183
 Bhojpur,,,,,,Illiterate,Male,Father,8
 Bhojpur,,,,,,Illiterate,Male,Father and step mother,17
 Bhojpur,,,,,,Illiterate,Male,Mother and step father,0
 Bhojpur,,,,,,Illiterate,Male,Other relatives,33
 Bhojpur,,,,,,Illiterate,Male,Employer,16
 Bhojpur,,,,,,Illiterate,Male,Others,33
 Bhojpur,,,,,,Illiterate,Male,Not stated,0
 Bhojpur,,,,,,Literate,Male,Parents,19429
 Bhojpur,,,,,,Literate,Male,Mother,1303
 Bhojpur,,,,,,Literate,Male,Father,263
 Bhojpur,,,,,,Literate,Male,Father and step mother,74
 Bhojpur,,,,,,Literate,Male,Mother and step father,41
 Bhojpur,,,,,,Literate,Male,Other relatives,222
 Bhojpur,,,,,,Literate,Male,Employer,0
 Bhojpur,,,,,,Literate,Male,Others,453
 Bhojpur,,,,,,Literate,Male,Not stated,66
 Bhojpur,,,,,,Literacy not stated,Male,Parents,0
 Bhojpur,,,,,,Literacy not stated,Male,Mother,0
 Bhojpur,,,,,,Literacy not stated,Male,Father,0
 Bhojpur,,,,,,Literacy not stated,Male,Father and step mother,0
 Bhojpur,,,,,,Literacy not stated,Male,Mother and step father,0
 Bhojpur,,,,,,Literacy not stated,Male,Other relatives,0
 Bhojpur,,,,,,Literacy not stated,Male,Employer,0
 Bhojpur,,,,,,Literacy not stated,Male,Others,0
 Bhojpur,,,,,,Literacy not stated,Male,Not stated,0
 Bhojpur,,,,,,Illiterate,  Female,Parents,2771
 Bhojpur,,,,,,Illiterate,  Female,Mother,159
 Bhojpur,,,,,,Illiterate,  Female,Father,32
 Bhojpur,,,,,,Illiterate,  Female,Father and step mother,16
 Bhojpur,,,,,,Illiterate,  Female,Mother and step father,8
 Bhojpur,,,,,,Illiterate,  Female,Other relatives,40
 Bhojpur,,,,,,Illiterate,  Female,Employer,8
 Bhojpur,,,,,,Illiterate,  Female,Others,48
 Bhojpur,,,,,,Illiterate,  Female,Not stated,8
 Bhojpur,,,,,,Literate,  Female,Parents,19339
 Bhojpur,,,,,,Literate,  Female,Mother,1427
 Bhojpur,,,,,,Literate,  Female,Father,317
 Bhojpur,,,,,,Literate,  Female,Father and step mother,151
 Bhojpur,,,,,,Literate,  Female,Mother and step father,40
 Bhojpur,,,,,,Literate,  Female,Other relatives,214
 Bhojpur,,,,,,Literate,  Female,Employer,24
 Bhojpur,,,,,,Literate,  Female,Others,468
 Bhojpur,,,,,,Literate,  Female,Not stated,48
 Bhojpur,,,,,,Literacy not stated,  Female,Parents,8
 Bhojpur,,,,,,Literacy not stated,  Female,Mother,0
 Bhojpur,,,,,,Literacy not stated,  Female,Father,0
 Bhojpur,,,,,,Literacy not stated,  Female,Father and step mother,0
 Bhojpur,,,,,,Literacy not stated,  Female,Mother and step father,0
 Bhojpur,,,,,,Literacy not stated,  Female,Other relatives,0
 Bhojpur,,,,,,Literacy not stated,  Female,Employer,0
 Bhojpur,,,,,,Literacy not stated,  Female,Others,0
 Bhojpur,,,,,,Literacy not stated,  Female,Not stated,0
 Solukhumbu,,,,,,Illiterate,Male,Parents,2361
 Solukhumbu,,,,,,Illiterate,Male,Mother,200
 Solukhumbu,,,,,,Illiterate,Male,Father,16
 Solukhumbu,,,,,,Illiterate,Male,Father and step mother,0
 Solukhumbu,,,,,,Illiterate,Male,Mother and step father,8
 Solukhumbu,,,,,,Illiterate,Male,Other relatives,24
 Solukhumbu,,,,,,Illiterate,Male,Employer,0
 Solukhumbu,,,,,,Illiterate,Male,Others,24
 Solukhumbu,,,,,,Illiterate,Male,Not stated,8
 Solukhumbu,,,,,,Literate,Male,Parents,10483
 Solukhumbu,,,,,,Literate,Male,Mother,1007
 Solukhumbu,,,,,,Literate,Male,Father,172
 Solukhumbu,,,,,,Literate,Male,Father and step mother,16
 Solukhumbu,,,,,,Literate,Male,Mother and step father,16
 Solukhumbu,,,,,,Literate,Male,Other relatives,54
 Solukhumbu,,,,,,Literate,Male,Employer,8
 Solukhumbu,,,,,,Literate,Male,Others,212
 Solukhumbu,,,,,,Literate,Male,Not stated,16
 Solukhumbu,,,,,,Literacy not stated,Male,Parents,0
 Solukhumbu,,,,,,Literacy not stated,Male,Mother,0
 Solukhumbu,,,,,,Literacy not stated,Male,Father,0
 Solukhumbu,,,,,,Literacy not stated,Male,Father and step mother,0
 Solukhumbu,,,,,,Literacy not stated,Male,Mother and step father,0
 Solukhumbu,,,,,,Literacy not stated,Male,Other relatives,0
 Solukhumbu,,,,,,Literacy not stated,Male,Employer,0
 Solukhumbu,,,,,,Literacy not stated,Male,Others,0
 Solukhumbu,,,,,,Literacy not stated,Male,Not stated,0
 Solukhumbu,,,,,,Illiterate,  Female,Parents,1908
 Solukhumbu,,,,,,Illiterate,  Female,Mother,163
 Solukhumbu,,,,,,Illiterate,  Female,Father,41
 Solukhumbu,,,,,,Illiterate,  Female,Father and step mother,0
 Solukhumbu,,,,,,Illiterate,  Female,Mother and step father,8
 Solukhumbu,,,,,,Illiterate,  Female,Other relatives,8
 Solukhumbu,,,,,,Illiterate,  Female,Employer,8
 Solukhumbu,,,,,,Illiterate,  Female,Others,48
 Solukhumbu,,,,,,Illiterate,  Female,Not stated,8
 Solukhumbu,,,,,,Literate,  Female,Parents,10751
 Solukhumbu,,,,,,Literate,  Female,Mother,949
 Solukhumbu,,,,,,Literate,  Female,Father,191
 Solukhumbu,,,,,,Literate,  Female,Father and step mother,32
 Solukhumbu,,,,,,Literate,  Female,Mother and step father,32
 Solukhumbu,,,,,,Literate,  Female,Other relatives,80
 Solukhumbu,,,,,,Literate,  Female,Employer,8
 Solukhumbu,,,,,,Literate,  Female,Others,326
 Solukhumbu,,,,,,Literate,  Female,Not stated,31
 Solukhumbu,,,,,,Literacy not stated,  Female,Parents,8
 Solukhumbu,,,,,,Literacy not stated,  Female,Mother,0
 Solukhumbu,,,,,,Literacy not stated,  Female,Father,0
 Solukhumbu,,,,,,Literacy not stated,  Female,Father and step mother,0
 Solukhumbu,,,,,,Literacy not stated,  Female,Mother and step father,0
 Solukhumbu,,,,,,Literacy not stated,  Female,Other relatives,0
 Solukhumbu,,,,,,Literacy not stated,  Female,Employer,0
 Solukhumbu,,,,,,Literacy not stated,  Female,Others,0
 Solukhumbu,,,,,,Literacy not stated,  Female,Not stated,0
 Okhaldhunga,,,,,,Illiterate,Male,Parents,2301
 Okhaldhunga,,,,,,Illiterate,Male,Mother,299
 Okhaldhunga,,,,,,Illiterate,Male,Father,8
 Okhaldhunga,,,,,,Illiterate,Male,Father and step mother,8
 Okhaldhunga,,,,,,Illiterate,Male,Mother and step father,8
 Okhaldhunga,,,,,,Illiterate,Male,Other relatives,31
 Okhaldhunga,,,,,,Illiterate,Male,Employer,8
 Okhaldhunga,,,,,,Illiterate,Male,Others,55
 Okhaldhunga,,,,,,Illiterate,Male,Not stated,16
 Okhaldhunga,,,,,,Literate,Male,Parents,15846
 Okhaldhunga,,,,,,Literate,Male,Mother,1776
 Okhaldhunga,,,,,,Literate,Male,Father,174
 Okhaldhunga,,,,,,Literate,Male,Father and step mother,95
 Okhaldhunga,,,,,,Literate,Male,Mother and step father,0
 Okhaldhunga,,,,,,Literate,Male,Other relatives,103
 Okhaldhunga,,,,,,Literate,Male,Employer,24
 Okhaldhunga,,,,,,Literate,Male,Others,268
 Okhaldhunga,,,,,,Literate,Male,Not stated,79
 Okhaldhunga,,,,,,Literacy not stated,Male,Parents,0
 Okhaldhunga,,,,,,Literacy not stated,Male,Mother,0
 Okhaldhunga,,,,,,Literacy not stated,Male,Father,0
 Okhaldhunga,,,,,,Literacy not stated,Male,Father and step mother,0
 Okhaldhunga,,,,,,Literacy not stated,Male,Mother and step father,0
 Okhaldhunga,,,,,,Literacy not stated,Male,Other relatives,0
 Okhaldhunga,,,,,,Literacy not stated,Male,Employer,0
 Okhaldhunga,,,,,,Literacy not stated,Male,Others,0
 Okhaldhunga,,,,,,Literacy not stated,Male,Not stated,0
 Okhaldhunga,,,,,,Illiterate,  Female,Parents,2794
 Okhaldhunga,,,,,,Illiterate,  Female,Mother,296
 Okhaldhunga,,,,,,Illiterate,  Female,Father,16
 Okhaldhunga,,,,,,Illiterate,  Female,Father and step mother,8
 Okhaldhunga,,,,,,Illiterate,  Female,Mother and step father,0
 Okhaldhunga,,,,,,Illiterate,  Female,Other relatives,0
 Okhaldhunga,,,,,,Illiterate,  Female,Employer,8
 Okhaldhunga,,,,,,Illiterate,  Female,Others,24
 Okhaldhunga,,,,,,Illiterate,  Female,Not stated,32
 Okhaldhunga,,,,,,Literate,  Female,Parents,15852
 Okhaldhunga,,,,,,Literate,  Female,Mother,1773
 Okhaldhunga,,,,,,Literate,  Female,Father,185
 Okhaldhunga,,,,,,Literate,  Female,Father and step mother,16
 Okhaldhunga,,,,,,Literate,  Female,Mother and step father,8
 Okhaldhunga,,,,,,Literate,  Female,Other relatives,136
 Okhaldhunga,,,,,,Literate,  Female,Employer,0
 Okhaldhunga,,,,,,Literate,  Female,Others,434
 Okhaldhunga,,,,,,Literate,  Female,Not stated,48
 Okhaldhunga,,,,,,Literacy not stated,  Female,Parents,8
 Okhaldhunga,,,,,,Literacy not stated,  Female,Mother,0
 Okhaldhunga,,,,,,Literacy not stated,  Female,Father,0
 Okhaldhunga,,,,,,Literacy not stated,  Female,Father and step mother,0
 Okhaldhunga,,,,,,Literacy not stated,  Female,Mother and step father,0
 Okhaldhunga,,,,,,Literacy not stated,  Female,Other relatives,0
 Okhaldhunga,,,,,,Literacy not stated,  Female,Employer,0
 Okhaldhunga,,,,,,Literacy not stated,  Female,Others,0
 Okhaldhunga,,,,,,Literacy not stated,  Female,Not stated,0
 Khotang,,,,,,Illiterate,Male,Parents,3820
 Khotang,,,,,,Illiterate,Male,Mother,377
 Khotang,,,,,,Illiterate,Male,Father,24
 Khotang,,,,,,Illiterate,Male,Father and step mother,24
 Khotang,,,,,,Illiterate,Male,Mother and step father,16
 Khotang,,,,,,Illiterate,Male,Other relatives,0
 Khotang,,,,,,Illiterate,Male,Employer,8
 Khotang,,,,,,Illiterate,Male,Others,89
 Khotang,,,,,,Illiterate,Male,Not stated,49
 Khotang,,,,,,Literate,Male,Parents,22686
 Khotang,,,,,,Literate,Male,Mother,2501
 Khotang,,,,,,Literate,Male,Father,310
 Khotang,,,,,,Literate,Male,Father and step mother,119
 Khotang,,,,,,Literate,Male,Mother and step father,8
 Khotang,,,,,,Literate,Male,Other relatives,128
 Khotang,,,,,,Literate,Male,Employer,32
 Khotang,,,,,,Literate,Male,Others,463
 Khotang,,,,,,Literate,Male,Not stated,200
 Khotang,,,,,,Literacy not stated,Male,Parents,16
 Khotang,,,,,,Literacy not stated,Male,Mother,0
 Khotang,,,,,,Literacy not stated,Male,Father,0
 Khotang,,,,,,Literacy not stated,Male,Father and step mother,0
 Khotang,,,,,,Literacy not stated,Male,Mother and step father,0
 Khotang,,,,,,Literacy not stated,Male,Other relatives,0
 Khotang,,,,,,Literacy not stated,Male,Employer,0
 Khotang,,,,,,Literacy not stated,Male,Others,0
 Khotang,,,,,,Literacy not stated,Male,Not stated,0
 Khotang,,,,,,Illiterate,  Female,Parents,3722
 Khotang,,,,,,Illiterate,  Female,Mother,421
 Khotang,,,,,,Illiterate,  Female,Father,70
 Khotang,,,,,,Illiterate,  Female,Father and step mother,31
 Khotang,,,,,,Illiterate,  Female,Mother and step father,8
 Khotang,,,,,,Illiterate,  Female,Other relatives,0
 Khotang,,,,,,Illiterate,  Female,Employer,8
 Khotang,,,,,,Illiterate,  Female,Others,86
 Khotang,,,,,,Illiterate,  Female,Not stated,23
 Khotang,,,,,,Literate,  Female,Parents,22891
 Khotang,,,,,,Literate,  Female,Mother,2602
 Khotang,,,,,,Literate,  Female,Father,350
 Khotang,,,,,,Literate,  Female,Father and step mother,187
 Khotang,,,,,,Literate,  Female,Mother and step father,8
 Khotang,,,,,,Literate,  Female,Other relatives,171
 Khotang,,,,,,Literate,  Female,Employer,8
 Khotang,,,,,,Literate,  Female,Others,568
 Khotang,,,,,,Literate,  Female,Not stated,187
 Khotang,,,,,,Literacy not stated,  Female,Parents,16
 Khotang,,,,,,Literacy not stated,  Female,Mother,0
 Khotang,,,,,,Literacy not stated,  Female,Father,0
 Khotang,,,,,,Literacy not stated,  Female,Father and step mother,0
 Khotang,,,,,,Literacy not stated,  Female,Mother and step father,0
 Khotang,,,,,,Literacy not stated,  Female,Other relatives,0
 Khotang,,,,,,Literacy not stated,  Female,Employer,0
 Khotang,,,,,,Literacy not stated,  Female,Others,0
 Khotang,,,,,,Literacy not stated,  Female,Not stated,0
 Udayapur,,,,,,Illiterate,Male,Parents,4936
 Udayapur,,,,,,Illiterate,Male,Mother,316
 Udayapur,,,,,,Illiterate,Male,Father,8
 Udayapur,,,,,,Illiterate,Male,Father and step mother,8
 Udayapur,,,,,,Illiterate,Male,Mother and step father,8
 Udayapur,,,,,,Illiterate,Male,Other relatives,32
 Udayapur,,,,,,Illiterate,Male,Employer,33
 Udayapur,,,,,,Illiterate,Male,Others,41
 Udayapur,,,,,,Illiterate,Male,Not stated,8
 Udayapur,,,,,,Literate,Male,Parents,36352
 Udayapur,,,,,,Literate,Male,Mother,4373
 Udayapur,,,,,,Literate,Male,Father,498
 Udayapur,,,,,,Literate,Male,Father and step mother,179
 Udayapur,,,,,,Literate,Male,Mother and step father,57
 Udayapur,,,,,,Literate,Male,Other relatives,334
 Udayapur,,,,,,Literate,Male,Employer,16
 Udayapur,,,,,,Literate,Male,Others,1173
 Udayapur,,,,,,Literate,Male,Not stated,73
 Udayapur,,,,,,Literacy not stated,Male,Parents,0
 Udayapur,,,,,,Literacy not stated,Male,Mother,0
 Udayapur,,,,,,Literacy not stated,Male,Father,0
 Udayapur,,,,,,Literacy not stated,Male,Father and step mother,0
 Udayapur,,,,,,Literacy not stated,Male,Mother and step father,0
 Udayapur,,,,,,Literacy not stated,Male,Other relatives,0
 Udayapur,,,,,,Literacy not stated,Male,Employer,0
 Udayapur,,,,,,Literacy not stated,Male,Others,0
 Udayapur,,,,,,Literacy not stated,Male,Not stated,0
 Udayapur,,,,,,Illiterate,  Female,Parents,4881
 Udayapur,,,,,,Illiterate,  Female,Mother,432
 Udayapur,,,,,,Illiterate,  Female,Father,33
 Udayapur,,,,,,Illiterate,  Female,Father and step mother,31
 Udayapur,,,,,,Illiterate,  Female,Mother and step father,8
 Udayapur,,,,,,Illiterate,  Female,Other relatives,31
 Udayapur,,,,,,Illiterate,  Female,Employer,0
 Udayapur,,,,,,Illiterate,  Female,Others,127
 Udayapur,,,,,,Illiterate,  Female,Not stated,8
 Udayapur,,,,,,Literate,  Female,Parents,35466
 Udayapur,,,,,,Literate,  Female,Mother,3644
 Udayapur,,,,,,Literate,  Female,Father,362
 Udayapur,,,,,,Literate,  Female,Father and step mother,157
 Udayapur,,,,,,Literate,  Female,Mother and step father,91
 Udayapur,,,,,,Literate,  Female,Other relatives,496
 Udayapur,,,,,,Literate,  Female,Employer,8
 Udayapur,,,,,,Literate,  Female,Others,1252
 Udayapur,,,,,,Literate,  Female,Not stated,80
 Udayapur,,,,,,Literacy not stated,  Female,Parents,0
 Udayapur,,,,,,Literacy not stated,  Female,Mother,0
 Udayapur,,,,,,Literacy not stated,  Female,Father,0
 Udayapur,,,,,,Literacy not stated,  Female,Father and step mother,0
 Udayapur,,,,,,Literacy not stated,  Female,Mother and step father,0
 Udayapur,,,,,,Literacy not stated,  Female,Other relatives,0
 Udayapur,,,,,,Literacy not stated,  Female,Employer,0
 Udayapur,,,,,,Literacy not stated,  Female,Others,0
 Udayapur,,,,,,Literacy not stated,  Female,Not stated,0
 Saptari,,,,,,Illiterate,Male,Parents,15507
 Saptari,,,,,,Illiterate,Male,Mother,1324
 Saptari,,,,,,Illiterate,Male,Father,98
 Saptari,,,,,,Illiterate,Male,Father and step mother,73
 Saptari,,,,,,Illiterate,Male,Mother and step father,16
 Saptari,,,,,,Illiterate,Male,Other relatives,32
 Saptari,,,,,,Illiterate,Male,Employer,19
 Saptari,,,,,,Illiterate,Male,Others,64
 Saptari,,,,,,Illiterate,Male,Not stated,287
 Saptari,,,,,,Literate,Male,Parents,68281
 Saptari,,,,,,Literate,Male,Mother,5153
 Saptari,,,,,,Literate,Male,Father,464
 Saptari,,,,,,Literate,Male,Father and step mother,70
 Saptari,,,,,,Literate,Male,Mother and step father,8
 Saptari,,,,,,Literate,Male,Other relatives,166
 Saptari,,,,,,Literate,Male,Employer,8
 Saptari,,,,,,Literate,Male,Others,980
 Saptari,,,,,,Literate,Male,Not stated,632
 Saptari,,,,,,Literacy not stated,Male,Parents,70
 Saptari,,,,,,Literacy not stated,Male,Mother,1
 Saptari,,,,,,Literacy not stated,Male,Father,0
 Saptari,,,,,,Literacy not stated,Male,Father and step mother,0
 Saptari,,,,,,Literacy not stated,Male,Mother and step father,0
 Saptari,,,,,,Literacy not stated,Male,Other relatives,0
 Saptari,,,,,,Literacy not stated,Male,Employer,0
 Saptari,,,,,,Literacy not stated,Male,Others,0
 Saptari,,,,,,Literacy not stated,Male,Not stated,8
 Saptari,,,,,,Illiterate,  Female,Parents,20992
 Saptari,,,,,,Illiterate,  Female,Mother,1895
 Saptari,,,,,,Illiterate,  Female,Father,42
 Saptari,,,,,,Illiterate,  Female,Father and step mother,32
 Saptari,,,,,,Illiterate,  Female,Mother and step father,8
 Saptari,,,,,,Illiterate,  Female,Other relatives,34
 Saptari,,,,,,Illiterate,  Female,Employer,9
 Saptari,,,,,,Illiterate,  Female,Others,133
 Saptari,,,,,,Illiterate,  Female,Not stated,512
 Saptari,,,,,,Literate,  Female,Parents,60622
 Saptari,,,,,,Literate,  Female,Mother,4943
 Saptari,,,,,,Literate,  Female,Father,295
